,0
0,pilot
1,failur
2,maintain
3,control
4,takeoff
5,result
6,contact
7,ground
8,contribut
9,accid
10,pilot
11,inadequ
12,preflight
13,plan
14,result
15,takeoff
16,short
17,wet
18,soft
19,runway
20,pilot
21,select
22,unsuit
23,area
24,land
25,factor
26,relat
27,accid
28,soft
29,land
30,surfac
31,farm
32,strip
33,student
34,pilot
35,failur
36,maintain
37,direct
38,control
39,land
40,roll
41,pilot
42,failur
43,initi
44,go
45,around
46,relat
47,factor
48,pilot
49,misjudg
50,speed
51,altitud
52,failur
53,pilot
54,obtain
55,proper
56,fli
57,speed
58,abort
59,takeoff
60,suffici
61,runway
62,remain
63,result
64,inadvert
65,stall
66,pilot
67,failur
68,maintain
69,direct
70,control
71,airplan
72,land
73,roll
74,failur
75,pilot
76,airplan
77,maintain
78,visual
79,lookout
80,climb
81,maneuv
82,result
83,flight
84,collis
85,subsequ
86,collis
87,resid
88,terrain
89,loss
90,engin
91,power
92,undetermin
93,reason
94,failur
95,pilot
96,follow
97,land
98,checklist
99,verifi
100,land
101,gear
102,lock
103,result
104,wheel
105,land
106,factor
107,failur
108,land
109,gear
110,lock
111,mechan
112,undetermin
113,reason
114,ice
115,ingest
116,engin
117,carburetor
118,air
119,box
120,result
121,loss
122,engin
123,power
124,subsequ
125,forc
126,land
127,airport
128,unprepar
129,terrain
130,pilot
131,failur
132,properli
133,interpret
134,confirm
135,faulti
136,tachomet
137,instrument
138,indic
139,improp
140,flare
141,ensu
142,precautionari
143,autorot
144,result
145,hard
146,land
147,causal
148,failur
149,tachomet
150,pilot
151,misjudg
152,obstacl
153,clearanc
154,final
155,approach
156,factor
157,dark
158,night
159,pilot
160,defect
161,distant
162,vision
163,bank
164,courier
165,inadequ
166,visual
167,lookout
168,approach
169,airplan
170,oper
171,engin
172,factor
173,lack
174,guidanc
175,train
176,bank
177,work
178,around
179,airplan
180,oper
181,engin
182,failur
183,5
184,exhaust
185,valv
186,rocker
187,boss
188,subsequ
189,stick
190,exhaust
191,valv
192,close
193,posit
194,factor
195,includ
196,wet
197,soft
198,terrain
199,avail
200,land
201,area
202,loss
203,direct
204,control
205,land
206,drainag
207,ditch
208,factor
209,improp
210,instal
211,engin
212,vacuum
213,pump
214,mainten
215,personnel
216,result
217,oil
218,exhaust
219,subsequ
220,loss
221,engin
222,power
223,factor
224,none
225,suitabl
226,terrain
227,pilot
228,improp
229,preflight
230,plan
231,failur
232,consult
233,perform
234,data
235,failur
236,obtain
237,proper
238,touchdown
239,point
240,result
241,runway
242,overrun
243,contribut
244,factor
245,accid
246,excess
247,airspe
248,overweight
249,condit
250,wet
251,runway
252,failur
253,pilot
254,maintain
255,adequ
256,airspe
257,maneuv
258,result
259,inadvert
260,stall
261,uncontrol
262,descent
263,ground
264,pilot
265,misjudg
266,distanc
267,vs
268,altitud
269,result
270,collis
271,water
272,short
273,intend
274,touchdown
275,point
276,rough
277,field
278,contribut
279,accid
280,total
281,loss
282,engin
283,power
284,due
285,failur
286,3
287,cylind
288,connect
289,rod
290,bear
291,undetermin
292,reason
293,fatigu
294,failur
295,3
296,cylind
297,connect
298,rod
299,piston
300,pin
301,plug
302,pilot
303,failur
304,maintain
305,direct
306,control
307,factor
308,grass
309,terrain
310,adjac
311,runway
312,collaps
313,main
314,land
315,gear
316,pilot
317,inabl
318,maintain
319,direct
320,control
321,due
322,soft
323,runway
324,condit
325,pilot
326,improp
327,touchdown
328,point
329,failur
330,perform
331,go
332,around
333,time
334,manner
335,result
336,runway
337,excurs
338,flight
339,inadvert
340,encount
341,rare
342,unforecast
343,mesoscal
344,graviti
345,wave
346,base
347,leg
348,result
349,sudden
350,loss
351,altitud
352,subsequ
353,collis
354,tree
355,pilot
356,inadequ
357,preflight
358,inspect
359,fuel
360,system
361,result
362,total
363,loss
364,engin
365,power
366,cruis
367,flight
368,due
369,fuel
370,contamin
371,forc
372,land
373,subsequ
374,flight
375,collis
376,tree
377,terrain
378,pilot
379,inadequ
380,compens
381,wind
382,condit
383,failur
384,maintain
385,direct
386,control
387,airplan
388,takeoff
389,roll
390,result
391,collis
392,veget
393,nose
394,factor
395,contribut
396,accid
397,tailwind
398,pilot
399,failur
400,appli
401,continu
402,brake
403,pressur
404,sun
405,glare
406,contribut
407,factor
408,pilot
409,command
410,failur
411,compens
412,wind
413,drift
414,land
415,result
416,aircraft
417,go
418,side
419,runway
420,collid
421,pond
422,pilot
423,failur
424,use
425,proper
426,nose
427,wheel
428,steer
429,result
430,loss
431,direct
432,control
433,pilot
434,excess
435,maneuv
436,respons
437,tca
438,alert
439,result
440,seriou
441,injuri
442,flight
443,attend
444,pilot
445,excess
446,applic
447,heel
448,brake
449,factor
450,associ
451,accid
452,pilot
453,lack
454,experi
455,make
456,model
457,airplan
458,pilot
459,inadvert
460,releas
461,seat
462,adjust
463,mechan
464,result
465,seat
466,slide
467,back
468,takeoff
469,subsequ
470,failur
471,maintain
472,control
473,airplan
474,factor
475,associ
476,accid
477,runway
478,light
479,control
480,box
481,airplan
482,contact
483,pilot
484,select
485,unsuit
486,terrain
487,land
488,result
489,dynam
490,rollov
491,factor
492,soft
493,land
494,area
495,select
496,total
497,loss
498,engin
499,power
500,due
501,carburetor
502,ice
503,flight
504,crew
505,excess
506,airspe
507,flightpath
508,angl
509,approach
510,land
511,failur
512,abort
513,approach
514,stabil
515,approach
516,criteria
517,contribut
518,accid
519,control
520,posit
521,airplan
522,manner
523,leav
524,safe
525,option
526,flight
527,crew
528,go
529,around
530,maneuv
531,pilot
532,maintain
533,proper
534,glidepath
535,visual
536,approach
537,runway
538,improp
539,decis
540,pilot
541,execut
542,precautionari
543,land
544,unprepar
545,field
546,due
547,supercharg
548,shaft
549,failur
550,pilot
551,failur
552,align
553,airplan
554,runway
555,land
556,pilot
557,failur
558,maintain
559,direct
560,control
561,takeoff
562,run
563,factor
564,relat
565,accid
566,tree
567,pilot
568,inadequ
569,flight
570,plan
571,decis
572,result
573,loss
574,engin
575,power
576,student
577,pilot
578,failur
579,maintain
580,direct
581,control
582,touchdown
