,0,1
0,pilot,4530
1,failur,3000
2,maintain,1688
3,control,1491
4,takeoff,563
5,result,1847
6,contact,50
7,ground,272
8,contribut,916
9,accid,1252
10,inadequ,931
11,preflight,269
12,plan,303
13,short,67
14,wet,32
15,soft,104
16,runway,496
17,select,141
18,unsuit,186
19,area,203
20,land,2088
21,factor,2061
22,relat,415
23,surfac,45
24,farm,2
25,strip,8
26,student,352
27,direct,647
28,roll,259
29,initi,181
30,go,174
31,around,168
32,misjudg,150
33,speed,104
34,altitud,437
35,obtain,74
36,proper,254
37,fli,116
38,abort,121
39,suffici,93
40,remain,24
41,inadvert,370
42,stall,407
43,airplan,904
44,visual,199
45,lookout,104
46,climb,208
47,maneuv,226
48,flight,1142
49,collis,385
50,subsequ,408
51,resid,6
52,terrain,882
53,loss,1322
54,engin,1177
55,power,1038
56,undetermin,448
57,reason,471
58,follow,208
59,checklist,52
60,verifi,27
61,gear,357
62,lock,56
63,wheel,55
64,mechan,94
65,ice,231
66,ingest,13
67,carburetor,191
68,air,53
69,box,15
70,forc,352
71,airport,108
72,unprepar,2
73,properli,91
74,interpret,1
75,confirm,5
76,faulti,6
77,tachomet,5
78,instrument,203
79,indic,31
80,improp,807
81,flare,219
82,ensu,11
83,precautionari,40
84,autorot,44
85,hard,164
86,causal,39
87,obstacl,60
88,clearanc,379
89,final,90
90,approach,317
91,dark,132
92,night,182
93,defect,10
94,distant,1
95,vision,5
96,bank,22
97,courier,1
98,oper,244
99,lack,489
100,guidanc,5
101,train,51
102,work,10
103,5,10
104,exhaust,281
105,valv,69
106,rocker,6
107,boss,3
108,stick,6
109,close,26
110,posit,103
111,includ,149
112,avail,59
113,drainag,3
114,ditch,78
115,instal,106
116,vacuum,12
117,pump,48
118,mainten,201
119,personnel,122
120,oil,115
121,none,4
122,suitabl,163
123,consult,3
124,perform,205
125,data,11
126,touchdown,122
127,point,92
128,overrun,38
129,excess,128
130,airspe,400
131,overweight,2
132,condit,1005
133,adequ,395
134,uncontrol,54
135,descent,137
136,distanc,60
137,vs,8
138,water,100
139,intend,18
140,rough,94
141,field,45
142,total,252
143,due,774
144,3,24
145,cylind,71
146,connect,45
147,rod,58
148,bear,29
149,fatigu,138
150,piston,23
151,pin,15
152,plug,21
153,grass,40
154,adjac,15
155,collaps,80
156,main,160
157,inabl,69
158,time,76
159,manner,12
160,excurs,24
161,encount,199
162,rare,1
163,unforecast,4
164,mesoscal,1
165,graviti,3
166,wave,7
167,base,11
168,leg,12
169,sudden,20
170,tree,278
171,inspect,158
172,fuel,952
173,system,243
174,cruis,93
175,contamin,96
176,compens,249
177,wind,445
178,veget,20
179,nose,148
180,tailwind,117
181,appli,19
182,continu,135
183,brake,142
184,pressur,57
185,sun,10
186,glare,11
187,command,241
188,drift,4
189,aircraft,589
190,side,23
191,collid,31
192,pond,1
193,use,242
194,steer,8
195,respons,15
196,tca,5
197,alert,5
198,seriou,10
199,injuri,14
200,attend,12
201,applic,62
202,heel,1
203,associ,135
204,experi,190
205,make,74
206,model,37
207,releas,12
208,seat,22
209,adjust,27
210,slide,5
211,back,21
212,light,113
213,dynam,14
214,rollov,17
215,crew,63
216,flightpath,1
217,angl,16
218,stabil,23
219,criteria,7
220,leav,6
221,safe,16
222,option,2
223,glidepath,16
224,decis,396
225,execut,54
226,supercharg,4
227,shaft,35
228,align,55
229,run,34
230,captain,37
231,placement,4
232,lever,13
233,beta,1
234,inflight,89
235,fog,48
236,dusk,19
237,cyclic,14
238,relinquish,4
239,supervis,110
240,instructor,235
241,separ,134
242,wing,76
243,vertic,8
244,rudder,45
245,known,112
246,advers,114
247,weather,305
248,exist,49
249,spin,64
250,crosswind,274
251,load,43
252,agricultur,10
253,product,1
254,exceed,80
255,critic,11
256,attack,9
257,experienc,15
258,aerodynam,59
259,inaccur,18
260,consumpt,39
261,calcul,43
262,physiolog,4
263,incapacit,16
264,cardiovascular,4
265,diseas,4
266,crankshaft,33
267,propel,87
268,gusti,113
269,restrict,24
270,aileron,30
271,movement,17
272,mush,58
273,compani,60
274,crm,1
275,manual,25
276,procedur,194
277,brief,35
278,divert,61
279,attent,59
280,toward,12
281,rise,33
282,capabl,34
283,variabl,18
284,downwind,31
285,turn,73
286,loop,51
287,manag,60
288,vehicl,21
289,citi,1
290,street,1
291,left,120
292,seizur,9
293,magneto,25
294,design,58
295,stress,20
296,limit,56
297,repair,20
298,station,6
299,top,8
300,overhaul,30
301,compli,30
302,servic,51
303,bulletin,14
304,attain,94
305,delay,191
306,vfr,74
307,meteorolog,109
308,mountain,111
309,minimum,32
310,low,248
311,allow,92
312,recoveri,105
313,activ,30
314,auxiliari,6
315,right,139
316,check,32
317,bird,28
318,gees,2
319,build,11
320,starvat,155
321,elev,52
322,camera,3
323,place,13
324,pocket,1
325,impact,98
326,refuel,65
327,uneven,68
328,high,217
329,densiti,85
330,bounc,111
331,tail,102
332,rotor,154
333,effect,36
334,hover,28
335,accur,6
336,fail,151
337,provid,43
338,reserv,4
339,destin,12
